# Which photograph stands for which food, and where it came from.
#
# Written by tool/fetch_food_media.mjs, consumed by tool/sync_food_media.sh. Checked in so the
# catalogue looks the same for everyone and so provenance is reviewable without running
# anything — every row is a cc0 or public-domain-mark image from Openverse.
#
# Editing a row by hand is fine and is how a bad automatic pick gets fixed; the fetcher leaves
# existing rows alone unless run with --force.
#
# id	food	licence	creator	image url	source page
f0120	Asparagus	by-sa-2.0	Benson Kua	https://live.staticflickr.com/3084/2552865406_0f2739a78b_b.jpg	https://www.flickr.com/photos/91545223@N00/2552865406
f0121	Beetroot	by-2.0	Nick Saltmarsh	https://live.staticflickr.com/2536/4108315483_97bd918a15_b.jpg	https://www.flickr.com/photos/7554150@N05/4108315483
f0122	Bell pepper	by-2.0	cobblucas	https://live.staticflickr.com/4114/4783962793_3faa4051c3_b.jpg	https://www.flickr.com/photos/25962164@N04/4783962793
f0123	Bok choy	by-sa-3.0	JS and new VpuipV	https://upload.wikimedia.org/wikipedia/commons/5/58/Bok_Choy.JPG	https://commons.wikimedia.org/w/index.php?curid=10690521
f0124	Broccoli	by-sa-4.0	Ivar Leidus	https://upload.wikimedia.org/wikipedia/commons/5/5e/Romanesco_broccoli_%28Brassica_oleracea%29.jpg	https://commons.wikimedia.org/w/index.php?curid=100133434
f0125	Brussels sprouts	by-2.5	Eric Hunt	https://upload.wikimedia.org/wikipedia/commons/2/23/Brussels_sprout_closeup.jpg	https://commons.wikimedia.org/w/index.php?curid=1318818
f0126	Butternut squash	by-sa-2.0	levork	https://live.staticflickr.com/2674/3763970917_5134c9bcda_b.jpg	https://www.flickr.com/photos/86805026@N00/3763970917
f0127	Cabbage	by-2.0	Muffet	https://live.staticflickr.com/8049/8076990249_12f30723b0_b.jpg	https://www.flickr.com/photos/53133240@N00/8076990249
f0128	Carrot	by-2.0	Nisha A	https://live.staticflickr.com/3034/2336528175_4087c9a948.jpg	https://www.flickr.com/photos/87718306@N00/2336528175
f0129	Cauliflower	by-2.0	Muffet	https://live.staticflickr.com/8467/8130880534_c4e72da609_b.jpg	https://www.flickr.com/photos/53133240@N00/8130880534
f0130	Celery	by-sa-2.5	Michelle Reaves	https://upload.wikimedia.org/wikipedia/commons/0/07/Cucumber_celery_apple_juice.jpg	https://commons.wikimedia.org/w/index.php?curid=16398133
f0131	Chili pepper	by-sa-4.0	Basile Morin	https://upload.wikimedia.org/wikipedia/commons/0/04/Red_chili_peppers_drying_on_a_footbridge.jpg	https://commons.wikimedia.org/w/index.php?curid=64577042
f0132	Collard greens	by-2.0	Key West Wedding Photography	https://live.staticflickr.com/629/31857830564_fc6ee5bb17_b.jpg	https://www.flickr.com/photos/58003213@N00/31857830564
f0133	Cucumber	by-2.0	Mike Licht, NotionsCapital.com	https://live.staticflickr.com/7293/8732274633_9e319d0c0b_b.jpg	https://www.flickr.com/photos/9106303@N05/8732274633
f0134	Eggplant	by-sa-2.0	AsianLifestyleDesign	https://live.staticflickr.com/7035/6769358683_f679b8bef1_b.jpg	https://www.flickr.com/photos/47696637@N03/6769358683
f0135	Garlic	by-2.0	photofarmer	https://live.staticflickr.com/8158/7419599518_6f66bac5c4_b.jpg	https://www.flickr.com/photos/62528187@N00/7419599518
f0136	Green beans	by-2.0	JeepersMedia	https://live.staticflickr.com/3921/15134304555_ec73f5bd82_b.jpg	https://www.flickr.com/photos/39160147@N03/15134304555
f0137	Green peas	by-2.5	No machine-readable author provided. Dunemaire assumed (based on copyright claims).	https://upload.wikimedia.org/wikipedia/commons/a/a7/Green_peas.jpg	https://commons.wikimedia.org/w/index.php?curid=501882
f0138	Iceberg lettuce	by-1.0	en:User:Geographer	https://upload.wikimedia.org/wikipedia/commons/d/da/Iceberg_lettuce_in_SB.jpg	https://commons.wikimedia.org/w/index.php?curid=2344199
f0139	Kale	by-2.0	Ruth and Dave	https://live.staticflickr.com/8329/8148834278_2d97a00ec2_b.jpg	https://www.flickr.com/photos/95142644@N00/8148834278
f0140	Leek	by-2.0	Muffet	https://live.staticflickr.com/104/293717280_8afbf5b915_b.jpg	https://www.flickr.com/photos/53133240@N00/293717280
f0141	Mushroom	by-sa-2.0	grungepunk2010	https://live.staticflickr.com/3359/5801866483_c948cdf861_b.jpg	https://www.flickr.com/photos/47340307@N05/5801866483
f0142	Okra	by-sa-3.0	Delince.J	https://upload.wikimedia.org/wikipedia/commons/4/4a/Okra%28Abelmoschus_esculentus%29.JPG	https://commons.wikimedia.org/w/index.php?curid=18337373
f0143	Onion	by-2.0	feesta	https://live.staticflickr.com/3247/2700575201_79184384a5_b.jpg	https://www.flickr.com/photos/45527691@N00/2700575201
